,matrix.nrow...1.,Match.No,Innings,Batting.Team,City,Date,Toss.Decision,Toss.Winner,Venue,Team1,Team2,Over,Runs.Batsman,Runs.Extras.Wides,Runs.Extras.No.Ball,Runs.Extras.Byes,Runs.Extras.Legbyes,Runs.Extras,Total.Runs,Wicket.Kind.Caught,Wicket.Kind.Caught.And.Bowled,Wicket.Kind.Bowled,Wicket.Kind.Lbw,Wicket.Kind.Runout,Wicket.Kind.Stumped,Wicket.Kind.Total
42,NA,301,2,India,Antigua,13-06-2011,field,India,"Sir Vivian Richards Stadium, North Sound",West Indies,India,38.6,138,2,0,4,2,8,146,7,1,0,0,0,2,10
43,NA,302,1,India,Jamaica,16-06-2011,field,West Indies,"Sabina Park, Kingston",West Indies,India,47.4,230,19,1,0,1,21,251,6,0,3,0,1,0,10
44,NA,302,2,West Indies,Jamaica,16-06-2011,field,West Indies,"Sabina Park, Kingston",West Indies,India,48.4,236,9,1,0,9,19,255,1,0,0,1,0,1,4
45,NA,303,1,Bangladesh,Mirpur,11/4/2011,bat,Bangladesh,Shere Bangla National Stadium,Bangladesh,Australia,49.6,219,3,2,4,1,10,229,3,1,2,1,0,0,7
46,NA,303,2,Australia,Mirpur,11/4/2011,bat,Bangladesh,Shere Bangla National Stadium,Bangladesh,Australia,25.6,230,1,1,0,0,2,232,1,0,0,0,0,0,1
47,NA,304,1,Australia,Mirpur,13-04-2011,bat,Australia,Shere Bangla National Stadium,Bangladesh,Australia,49.6,353,4,1,0,3,8,361,2,1,2,3,0,0,8
48,NA,304,2,Bangladesh,Mirpur,13-04-2011,bat,Australia,Shere Bangla National Stadium,Bangladesh,Australia,49.6,279,9,0,2,5,16,295,5,0,1,0,0,0,6
49,NA,305,1,Netherlands,Aberdeen,29-06-2011,field,Scotland,Mannofield Park,Scotland,Netherlands,49.6,172,5,0,0,3,8,180,6,0,1,1,1,0,9
50,NA,305,2,Scotland,Aberdeen,29-06-2011,field,Scotland,Mannofield Park,Scotland,Netherlands,39.1,162,0,0,0,0,0,162,4,0,1,0,0,0,5
51,NA,306,1,Australia,Centurion,19-10-2011,field,South Africa,SuperSport Park,South Africa,Australia,28.6,174,7,1,0,1,9,183,2,0,1,0,1,0,4
52,NA,306,2,South Africa,Centurion,19-10-2011,field,South Africa,SuperSport Park,South Africa,Australia,21.6,121,7,0,0,1,8,129,6,0,1,2,0,0,10
53,NA,307,1,South Africa,Port Elizabeth,23-10-2011,bat,South Africa,St George's Park,South Africa,Australia,49.6,275,7,0,9,12,28,303,3,1,0,0,1,1,6
54,NA,307,2,Australia,Port Elizabeth,23-10-2011,bat,South Africa,St George's Park,South Africa,Australia,49.6,212,2,0,5,4,11,223,8,0,1,0,1,0,10
55,NA,308,1,South Africa,Durban,28-10-2011,bat,South Africa,Kingsmead,South Africa,Australia,49.6,202,11,0,0,9,20,222,5,0,0,0,1,0,6
56,NA,308,2,Australia,Durban,28-10-2011,bat,South Africa,Kingsmead,South Africa,Australia,47.3,206,7,0,0,14,21,227,3,1,3,0,0,0,7
57,NA,309,1,South Africa,Paarl,11/1/2012,bat,South Africa,Boland Park,South Africa,Sri Lanka,49.6,284,15,0,0,2,17,301,3,1,3,0,1,0,8
58,NA,309,2,Sri Lanka,Paarl,11/1/2012,bat,South Africa,Boland Park,South Africa,Sri Lanka,20.1,39,2,2,0,0,4,43,7,0,2,1,0,0,10
59,NA,310,1,Sri Lanka,East London,14-01-2012,field,South Africa,Buffalo Park,South Africa,Sri Lanka,49.6,230,5,0,0,1,6,236,5,0,0,0,1,0,6
60,NA,310,2,South Africa,East London,14-01-2012,field,South Africa,Buffalo Park,South Africa,Sri Lanka,48.4,233,1,0,0,3,4,237,2,1,1,0,1,0,5
61,NA,311,1,Sri Lanka,Bloemfontein,17-01-2012,bat,Sri Lanka,Chevrolet Park,South Africa,Sri Lanka,49.6,257,7,1,0,1,9,266,4,0,2,0,3,0,9
62,NA,311,2,South Africa,Bloemfontein,17-01-2012,bat,Sri Lanka,Chevrolet Park,South Africa,Sri Lanka,33.7,175,2,0,0,2,4,179,0,0,2,1,2,0,5
63,NA,312,1,South Africa,Kimberley,20-01-2012,bat,South Africa,De Beers Diamond Oval,South Africa,Sri Lanka,49.6,289,6,0,4,0,10,299,4,0,1,1,1,0,7
64,NA,312,2,Sri Lanka,Kimberley,20-01-2012,bat,South Africa,De Beers Diamond Oval,South Africa,Sri Lanka,48.4,287,6,2,4,5,17,304,4,0,1,0,0,0,5
